epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8426,1.35042,2.46955,1.48187,0.61794,0.7499,0.65024,0.37708,1.28163,1.62219,1.50457,0.000368619,0.000368619,0.000368619
2,152.094,1.2842,1.67956,1.38878,0.70347,0.73461,0.72454,0.4246,1.34401,1.42061,1.54903,0.000724321,0.000724321,0.000724321
3,223.909,1.26417,1.45161,1.37392,0.62037,0.74612,0.69877,0.45108,1.25117,1.49929,1.51517,0.00106536,0.00106536,0.00106536
4,296.52,1.27018,1.29252,1.36802,0.76761,0.81455,0.82261,0.52264,1.198,1.05501,1.43058,0.00104501,0.00104501,0.00104501
5,370.994,1.20604,1.16824,1.32257,0.78539,0.80401,0.8479,0.56309,1.17706,1.04994,1.40026,0.00102301,0.00102301,0.00102301
6,444.541,1.19331,1.09913,1.31737,0.83653,0.84806,0.87147,0.59734,1.09621,0.85561,1.32038,0.00100101,0.00100101,0.00100101
7,518.411,1.16657,1.03768,1.28994,0.83423,0.83646,0.87915,0.59366,1.07816,0.8889,1.32598,0.000979013,0.000979013,0.000979013
8,591.211,1.14028,1.00546,1.28202,0.84867,0.85825,0.86143,0.59352,1.04623,0.86615,1.30245,0.000957015,0.000957015,0.000957015
9,663.423,1.12533,0.9749,1.26639,0.85774,0.85388,0.88733,0.62377,1.03704,0.80472,1.27032,0.000935018,0.000935018,0.000935018
10,735.89,1.10459,0.94395,1.25327,0.85246,0.85699,0.90016,0.60818,1.03642,0.76851,1.27194,0.00091302,0.00091302,0.00091302
11,810.404,1.0987,0.90619,1.24366,0.84649,0.88821,0.88891,0.63402,1.00586,0.73658,1.23779,0.000891022,0.000891022,0.000891022
12,884.825,1.0716,0.8857,1.23164,0.84749,0.867,0.87488,0.60031,1.04374,0.81148,1.27415,0.000869024,0.000869024,0.000869024
13,958.066,1.05491,0.85058,1.22622,0.81899,0.88299,0.87929,0.62551,0.97414,0.77794,1.21484,0.000847026,0.000847026,0.000847026
14,1030.96,1.05474,0.83863,1.22222,0.87876,0.86848,0.91652,0.64187,1.00414,0.71779,1.23049,0.000825029,0.000825029,0.000825029
15,1104.16,1.04631,0.81302,1.21854,0.88297,0.85554,0.90608,0.63933,0.98728,0.7161,1.22569,0.000803031,0.000803031,0.000803031
16,1176.34,1.0243,0.79845,1.20041,0.88535,0.8797,0.91624,0.67262,0.95237,0.65475,1.18971,0.000781033,0.000781033,0.000781033
17,1249.61,1.01402,0.76957,1.19545,0.87914,0.87968,0.89248,0.64564,0.95295,0.6904,1.21403,0.000759035,0.000759035,0.000759035
18,1322.14,1.02289,0.77964,1.20414,0.87774,0.9053,0.90727,0.6535,0.94476,0.65303,1.19237,0.000737037,0.000737037,0.000737037
19,1394.67,1.00364,0.76165,1.18786,0.88351,0.90228,0.92041,0.66016,0.94678,0.65027,1.19217,0.00071504,0.00071504,0.00071504
20,1466.83,0.98939,0.73158,1.17691,0.89055,0.88734,0.91323,0.66841,0.90929,0.63564,1.1611,0.000693042,0.000693042,0.000693042
21,1538.61,0.98625,0.7308,1.17956,0.88153,0.89771,0.91558,0.66576,0.92968,0.62975,1.18133,0.000671044,0.000671044,0.000671044
22,1612.31,0.9802,0.71048,1.17952,0.89764,0.87992,0.91674,0.67824,0.91267,0.62073,1.15971,0.000649046,0.000649046,0.000649046
23,1687.44,0.96483,0.71608,1.16572,0.88948,0.88101,0.91984,0.6708,0.91679,0.63643,1.17117,0.000627048,0.000627048,0.000627048
24,1763.5,0.95799,0.67674,1.16301,0.89443,0.88808,0.90607,0.67138,0.91772,0.61198,1.16385,0.000605051,0.000605051,0.000605051
25,1842.08,0.95594,0.67729,1.16006,0.88016,0.89254,0.92141,0.68013,0.90404,0.62181,1.15645,0.000583053,0.000583053,0.000583053
26,1918.95,0.94664,0.67438,1.1538,0.88938,0.91412,0.91803,0.68301,0.91003,0.59575,1.16461,0.000561055,0.000561055,0.000561055
27,1995.64,0.93869,0.6611,1.14936,0.8899,0.89436,0.92377,0.69055,0.9047,0.59518,1.15673,0.000539057,0.000539057,0.000539057
28,2073.24,0.93014,0.6509,1.14839,0.89793,0.90163,0.92107,0.67349,0.90672,0.58815,1.16847,0.000517059,0.000517059,0.000517059
29,2150.36,0.92434,0.65426,1.15022,0.87381,0.93113,0.9259,0.69325,0.88227,0.57219,1.14488,0.000495062,0.000495062,0.000495062
30,2227.55,0.91093,0.62822,1.13387,0.88998,0.90541,0.91484,0.68659,0.89877,0.58581,1.16122,0.000473064,0.000473064,0.000473064
31,2305.38,0.91862,0.6246,1.13565,0.89334,0.91113,0.90686,0.68355,0.87688,0.58543,1.14122,0.000451066,0.000451066,0.000451066
32,2383.18,0.91084,0.62149,1.13322,0.89454,0.90766,0.92488,0.69156,0.89097,0.57453,1.14205,0.000429068,0.000429068,0.000429068
33,2460.02,0.90286,0.62514,1.12921,0.88908,0.92424,0.92271,0.69472,0.88535,0.55424,1.13773,0.00040707,0.00040707,0.00040707
34,2537.22,0.89661,0.60888,1.12986,0.89933,0.92062,0.91918,0.70293,0.86013,0.5459,1.12193,0.000385073,0.000385073,0.000385073
35,2615.01,0.88577,0.5965,1.11733,0.89186,0.91163,0.91747,0.68597,0.87493,0.55953,1.13763,0.000363075,0.000363075,0.000363075
36,2691.09,0.87938,0.58933,1.11774,0.89706,0.91623,0.92816,0.71553,0.84475,0.53489,1.11878,0.000341077,0.000341077,0.000341077
37,2768.19,0.8771,0.57761,1.1202,0.89075,0.92826,0.92342,0.7055,0.86154,0.54384,1.13838,0.000319079,0.000319079,0.000319079
38,2845.93,0.8834,0.58314,1.11454,0.89138,0.91572,0.92319,0.7041,0.86419,0.53435,1.13414,0.000297081,0.000297081,0.000297081
39,2924.18,0.86996,0.57124,1.11159,0.88859,0.92379,0.91578,0.69134,0.87473,0.52836,1.13784,0.000275084,0.000275084,0.000275084
40,3002.8,0.85857,0.57192,1.10362,0.90792,0.90982,0.92022,0.70632,0.85326,0.52597,1.1211,0.000253086,0.000253086,0.000253086
41,3077.2,0.76775,0.4267,1.0817,0.89895,0.91178,0.92206,0.70283,0.8618,0.5382,1.1315,0.000231088,0.000231088,0.000231088
42,3149.19,0.75214,0.40376,1.08,0.8961,0.92788,0.9194,0.69468,0.86256,0.53952,1.13298,0.00020909,0.00020909,0.00020909
43,3220.58,0.74426,0.40165,1.07335,0.89033,0.92559,0.91607,0.70324,0.84753,0.52594,1.12053,0.000187092,0.000187092,0.000187092
44,3291.96,0.73097,0.38658,1.06746,0.89656,0.92754,0.92157,0.7114,0.83851,0.52724,1.11032,0.000165095,0.000165095,0.000165095
45,3362.56,0.72526,0.38192,1.05739,0.90254,0.92563,0.92149,0.71427,0.84306,0.52223,1.11815,0.000143097,0.000143097,0.000143097
46,3433.28,0.71705,0.37558,1.05193,0.89942,0.92434,0.92039,0.71592,0.83498,0.51829,1.10812,0.000121099,0.000121099,0.000121099
47,3503.87,0.70548,0.36545,1.0463,0.89245,0.92594,0.9205,0.70798,0.84605,0.52087,1.1211,9.91012e-05,9.91012e-05,9.91012e-05
48,3574.36,0.70414,0.36493,1.0458,0.89401,0.92773,0.91679,0.70604,0.84694,0.52492,1.11412,7.71034e-05,7.71034e-05,7.71034e-05
